,net_worth,followers,posts,genre,instagram,
paul mccartney,1.287,1.7,955,rock,yes,
andrew weber,1.234,0,0,pop,no,
herb alpert,850,404,37,jazz,yes,
dr. dre,830,"3,500,000",36,hip hop,yes,
sean combs,820,"10,300,000",13155,hip hop,yes,
jay z,810,,,hip hop,no,
madonna,580,"10,900,000",3324,pop,yes,
emilio estefan,500,"128,000",704,pop,yes,
elton john,480,"929,000",617,rock ,yes,
coldplay,475,"9,600,000",1653,rock,yes,
jimmy buffett,430,"147,000",710,country,yes,
mick jagger,360,"1,300,000",237,rock,yes,
ringo starr,350,"281,000",84,rock,yes,
bruce springsteen,345,"665,000",345,rock,yes,
keith richards,340,"693,000",566,rock,yes,
neil sedaka,300,430,0,pop,yes,
gene simmons,300,"304,000",597,heavy metal,yes,
jon bon jovi,300,"135,000",26,rock,yes,
sting,300,"344,000",397,rock,yes,
l.a. reid,300,"215,000",211,pop,yes,
dhani harrison,275,"50,100",838,rock,yes,
lady gaga,275,"28,000,000","2,839",pop,yes,
roger waters,270,"278,000",451,rock,yes,
phil collins,260,"156,000",107,pop,yes,
tim rice,250,0,0,other,no,
eric clapton,250,"47,500",2,rock,yes,
master p,250,"745,000",768,hip hop,yes,
rod stewart,235,"235,000",124,rock,yes,
david bowie,230,"896,000",610,rock,yes,
ozzy osbourne,220,"1,900,000",1704,heavy metal,yes,
lou adler,200,"24,100",4328,rock,yes,
sean lennon,200,"159,000",1564,rock,yes,
don henley,200,"7,518",105,rock,yes,
lars ulrich ,200,"200,000",289,heavy metal,yes,
eminem,190,"18,600,000",292,hip hop,yes,
usher,180,"7,400,000",2386,pop,yes,
billy joel,180,"114,000",139,rock,yes,
brian may,175,"161,000",1273,rock,yes,
george michael,175,"208,000",108,pop,yes,
robert plant,170,0,0,rock,no,
roger taylor,170,"3,588",116,rock,yes,
jimmy page,170,"113,000",889,rock,yes,
50 cent,155,"17,600,000",1862,hip hop,yes,
courtney love,150,"790,000",1071,rock,yes,
burt bacharach,150,0,0,pop,no,
tony iommi,140,"26,500",17,heavy metal,yes,
david gilmour,115,"297,000",128,rock,yes,
paul stanley,125,"216,000",1412,rock,yes,
flea,115,"2,500,000",1261,rock,yes,
john deacon,115,"2,170",341,rock,yes,
tony bennett,110,"156,000",318,pop,yes,
birdman,110,"2,700,000",43,hip hop,yes,
pete townsend,105,"1,657",38,rock,yes,
john williams,100,0,0,other,no,
phil spector,100,0,0,pop,no,
malcolm young,100,"25,900",548,rock,yes,
nick mason,100,0,0,rock,no,
mark knopfler,95,0,0,rock,no,
hans zimmer,90,"194,000",122,other,yes,
cliff richard,90,0,0,rock,no,
van morrison,90,"13,200",64,rock,yes,
eddie vedder,90,"1,400,000",2305,rock,yes,
steven zandt,80,0,0,rock,no,
kid rock,80,"361,000",1347,rock,yes,
frankie valli,80,"3,223",59,rock,yes,
john jones,80,0,0,rock,no,
stevie nicks,75,"19,600",2074,rock,yes,
brian wilson,75,"35,300",581,rock,yes,
guy berryman,75,"9,600,000",1653,rock,yes,
johnny buckland,75,"9,600,000",1653,rock,yes,
will champion,75,0,0,rock,no,"
"
nicki minaj,75,"86,000,000",5179,hip hop,yes,
john fogerty,70,"33,900",220,rock,yes,
daft punk,70,"290,000",48,other,yes,
glenn frey,70,"7,518",105,rock,yes,
rev run,70,"1,600,000",6900,hip hop,yes,
jon fishman,70,"21,800",825,other,yes,
peter gabriel,70,"70,800",102,rock,yes,
ayumi hamasaki,70,"1,000,000",745,pop,yes,
jay kay,70,"118,000",375,pop,yes,
bernie taupin,70,"2,426",45,rock,yes,
stone gossard,65,"1,397",862,rock,yes,
busta rhymes,65,"801,000",2369,hip hop,yes,
roger daltrey,65,"160,000",132,rock,yes,
richie sambora,65,"68,200",77,rock,yes,
swizz beatz,65,"2,000,000",9529,hip hop,yes,
paul van dyk,60,"242,000",3754,other,yes,
simon le bon,60,"200,000",2920,rock,yes,
nelly,60,"2,000,000",1874,hip hop,yes,
steve harris ,60,0,0,heavy metal,no,
michael anthony,60,"35,800",97,rock,yes,
noel gallagher,60,"614,000",260,rock,yes,
billy gibbons,55,"28,300",31,rock,yes,
billy joe armstrong,55,"1,800,000",1037,rock,yes,
wiz khalifa,55,"19,300,000",6308,hip hop,yes,
mike dirnt,50,"570,000",1296,rock,yes,
john mcvie,50,0,0,rock,no,
kenny g,50,"45,000",443,other,yes,
randy newman,50,"2,700",50,rock,yes,
beyonce,350,"113,400,000",1603,pop,yes,
tim mcgraw,85,"1,900,000",1616,country,yes,
